district,property_type,sales,new_listings,inventory,months_supply,benchmark_price,benchmark_yoy_pct,date,days_on_market,median_price,average_price,prev_benchmark_price,oil_price_usd,overnight_rate,ca_5yr_bond_yield,cadusd_rate,natgas_price,alberta_energy_etf
Calgary,Apartment,370.0,922.0,1295.0,3.5,331400.0,5.31,2025-01-01,,,,,72.52999877929688,3.2723,3.32,0.6899882555007935,3.0439999103546143,16.51482582092285
Calgary,Detached,674.0,1228.0,1448.0,2.15,750800.0,7.03,2025-01-01,,,,,72.52999877929688,3.2723,3.32,0.6899882555007935,3.0439999103546143,16.51482582092285
Calgary,Row,247.0,471.0,589.0,2.38,444900.0,4.86,2025-01-01,,,,,72.52999877929688,3.2723,3.32,0.6899882555007935,3.0439999103546143,16.51482582092285
Calgary,Semi-Detached,160.0,275.0,307.0,1.92,673600.0,8.31,2025-01-01,,,,,72.52999877929688,3.2723,3.32,0.6899882555007935,3.0439999103546143,16.51482582092285
Calgary,Total Residential,1451.0,2896.0,3639.0,,583000.0,,2025-01-01,41.0,572500.0,605026.0,567200.0,72.52999877929688,3.2723,3.32,0.6899882555007935,3.0439999103546143,16.51482582092285
Calgary,Apartment,473.0,852.0,1466.0,3.1,334200.0,3.95,2025-02-01,,,,,69.76000213623047,2.983,3.15,0.6923529505729675,3.8340001106262207,16.206857681274414
Calgary,Detached,765.0,1265.0,1698.0,2.22,760500.0,5.08,2025-02-01,,,,,69.76000213623047,2.983,3.15,0.6923529505729675,3.8340001106262207,16.206857681274414
Calgary,Row,318.0,473.0,655.0,2.06,446800.0,2.78,2025-02-01,,,,,69.76000213623047,2.983,3.15,0.6923529505729675,3.8340001106262207,16.206857681274414
Calgary,Semi-Detached,165.0,240.0,326.0,1.98,683500.0,6.9,2025-02-01,,,,,69.76000213623047,2.983,3.15,0.6923529505729675,3.8340001106262207,16.206857681274414
Calgary,Total Residential,1721.0,2830.0,4145.0,,587600.0,,2025-02-01,33.0,565000.0,612838.0,582200.0,69.76000213623047,2.983,3.15,0.6923529505729675,3.8340001106262207,16.206857681274414
Calgary,Apartment,540.0,1092.0,1710.0,3.17,336100.0,2.59,2025-03-01,,,,,71.4800033569336,2.7385,3.32,0.698855996131897,4.11899995803833,16.967153549194336
Calgary,Detached,1035.0,1895.0,2205.0,2.13,769800.0,4.11,2025-03-01,,,,,71.4800033569336,2.7385,3.32,0.698855996131897,4.11899995803833,16.967153549194336
Calgary,Row,400.0,697.0,826.0,2.07,454000.0,2.11,2025-03-01,,,,,71.4800033569336,2.7385,3.32,0.698855996131897,4.11899995803833,16.967153549194336
Calgary,Semi-Detached,184.0,335.0,413.0,2.24,691900.0,5.12,2025-03-01,,,,,71.4800033569336,2.7385,3.32,0.698855996131897,4.11899995803833,16.967153549194336
Calgary,Total Residential,2159.0,4019.0,5154.0,,592500.0,,2025-03-01,29.0,584500.0,639458.0,592000.0,71.4800033569336,2.7385,3.32,0.698855996131897,4.11899995803833,16.967153549194336
Calgary,Apartment,589.0,1086.0,1867.0,3.17,336000.0,0.15,2025-04-01,,,,,58.209999084472656,2.7377,3.36,0.7232331037521362,3.325999975204468,14.874773025512695
Calgary,Detached,1102.0,1907.0,2511.0,2.28,769300.0,2.41,2025-04-01,,,,,58.209999084472656,2.7377,3.36,0.7232331037521362,3.325999975204468,14.874773025512695
Calgary,Row,355.0,695.0,1005.0,2.83,457400.0,0.53,2025-04-01,,,,,58.209999084472656,2.7377,3.36,0.7232331037521362,3.325999975204468,14.874773025512695
Calgary,Semi-Detached,190.0,350.0,484.0,2.55,691700.0,3.59,2025-04-01,,,,,58.209999084472656,2.7377,3.36,0.7232331037521362,3.325999975204468,14.874773025512695
Calgary,Total Residential,2236.0,4038.0,5867.0,,591100.0,,2025-04-01,29.0,590000.0,646743.0,599500.0,58.209999084472656,2.7377,3.36,0.7232331037521362,3.325999975204468,14.874773025512695
Calgary,Apartment,579.0,1231.0,2087.0,3.6,335300.0,-1.53,2025-05-01,,,,,60.790000915527344,2.7434,3.48,0.7278549671173096,3.447000026702881,15.75717544555664
Calgary,Detached,1275.0,2419.0,2995.0,2.35,769400.0,1.0,2025-05-01,,,,,60.790000915527344,2.7434,3.48,0.7278549671173096,3.447000026702881,15.75717544555664
Calgary,Row,458.0,764.0,1116.0,2.44,453600.0,-1.92,2025-05-01,,,,,60.790000915527344,2.7434,3.48,0.7278549671173096,3.447000026702881,15.75717544555664
Calgary,Semi-Detached,256.0,428.0,542.0,2.12,697300.0,2.85,2025-05-01,,,,,60.790000915527344,2.7434,3.48,0.7278549671173096,3.447000026702881,15.75717544555664
Calgary,Total Residential,2568.0,4842.0,6740.0,,589900.0,,2025-05-01,32.0,590250.0,649268.0,605300.0,60.790000915527344,2.7434,3.48,0.7278549671173096,3.447000026702881,15.75717544555664
Calgary,Apartment,532.0,1024.0,2112.0,3.97,333500.0,-3.25,2025-06-01,,,,,,2.7441,3.6,0.730919361114502,,16.455337524414062
Calgary,Detached,1194.0,2145.0,3107.0,2.6,764300.0,-0.43,2025-06-01,,,,,,2.7441,3.6,0.730919361114502,,16.455337524414062
Calgary,Row,348.0,697.0,1167.0,3.35,450300.0,-3.08,2025-06-01,,,,,,2.7441,3.6,0.730919361114502,,16.455337524414062
Calgary,Semi-Detached,212.0,357.0,555.0,2.62,696400.0,1.5,2025-06-01,,,,,,2.7441,3.6,0.730919361114502,,16.455337524414062
Calgary,Total Residential,2286.0,4223.0,6941.0,,586200.0,,2025-06-01,33.0,595000.0,646147.0,608000.0,,2.7441,3.6,0.730919361114502,,16.455337524414062
Calgary,Apartment,508.0,1014.0,2097.0,4.13,329600.0,-4.82,2025-07-01,,,,,69.26000213623047,2.747,3.77,0.7233168482780457,3.1059999465942383,17.29615020751953
Calgary,Detached,1031.0,1888.0,3078.0,2.99,761800.0,-0.78,2025-07-01,,,,,69.26000213623047,2.747,3.77,0.7233168482780457,3.1059999465942383,17.29615020751953
Calgary,Row,373.0,678.0,1193.0,3.2,446200.0,-3.88,2025-07-01,,,,,69.26000213623047,2.747,3.77,0.7233168482780457,3.1059999465942383,17.29615020751953
Calgary,Semi-Detached,187.0,331.0,549.0,2.94,697500.0,1.4,2025-07-01,,,,,69.26000213623047,2.747,3.77,0.7233168482780457,3.1059999465942383,17.29615020751953
Calgary,Total Residential,2099.0,3911.0,6917.0,,582900.0,,2025-07-01,37.0,569500.0,616686.0,606700.0,69.26000213623047,2.747,3.77,0.7233168482780457,3.1059999465942383,17.29615020751953
Calgary,Apartment,449.0,877.0,1979.0,4.41,326500.0,-5.77,2025-08-01,,,,,64.01000213623047,2.7598,3.82,0.7276961207389832,2.996999979019165,17.590137481689453
Calgary,Detached,995.0,1748.0,3051.0,3.07,755600.0,-0.92,2025-08-01,,,,,64.01000213623047,2.7598,3.82,0.7276961207389832,2.996999979019165,17.590137481689453
Calgary,Row,339.0,544.0,1103.0,3.25,439600.0,-4.79,2025-08-01,,,,,64.01000213623047,2.7598,3.82,0.7276961207389832,2.996999979019165,17.590137481689453
Calgary,Semi-Detached,206.0,309.0,528.0,2.56,687200.0,0.88,2025-08-01,,,,,64.01000213623047,2.7598,3.82,0.7276961207389832,2.996999979019165,17.590137481689453
Calgary,Total Residential,1989.0,3478.0,6661.0,,577200.0,,2025-08-01,38.0,570000.0,612349.0,601800.0,64.01000213623047,2.7598,3.82,0.7276961207389832,2.996999979019165,17.590137481689453
Calgary,Apartment,401.0,924.0,1999.0,4.99,322900.0,-6.41,2025-09-01,,,,,62.369998931884766,2.479,3.59,0.7185869216918945,3.302999973297119,17.991918563842773
Calgary,Detached,859.0,1905.0,3201.0,3.73,749900.0,-0.95,2025-09-01,,,,,62.369998931884766,2.479,3.59,0.7185869216918945,3.302999973297119,17.991918563842773
Calgary,Row,304.0,592.0,1099.0,3.62,437100.0,-4.81,2025-09-01,,,,,62.369998931884766,2.479,3.59,0.7185869216918945,3.302999973297119,17.991918563842773
Calgary,Semi-Detached,156.0,361.0,617.0,3.96,684800.0,0.94,2025-09-01,,,,,62.369998931884766,2.479,3.59,0.7185869216918945,3.302999973297119,17.991918563842773
Calgary,Total Residential,1720.0,3782.0,6916.0,,572800.0,,2025-09-01,42.0,560000.0,615005.0,596900.0,62.369998931884766,2.479,3.59,0.7185869216918945,3.302999973297119,17.991918563842773
Calgary,Apartment,412.0,791.0,1891.0,4.59,318200.0,-6.88,2025-10-01,,,,,60.97999954223633,2.5001,3.51,0.7152512669563293,4.124000072479248,18.149980545043945
Calgary,Detached,1012.0,1593.0,2913.0,2.88,744400.0,-1.26,2025-10-01,,,,,60.97999954223633,2.5001,3.51,0.7152512669563293,4.124000072479248,18.149980545043945
Calgary,Row,275.0,520.0,1054.0,3.83,431200.0,-5.56,2025-10-01,,,,,60.97999954223633,2.5001,3.51,0.7152512669563293,4.124000072479248,18.149980545043945
Calgary,Semi-Detached,186.0,329.0,613.0,3.3,683100.0,0.9,2025-10-01,,,,,60.97999954223633,2.5001,3.51,0.7152512669563293,4.124000072479248,18.149980545043945
Calgary,Total Residential,1885.0,3233.0,6471.0,,568000.0,,2025-10-01,43.0,577000.0,642840.0,592500.0,60.97999954223633,2.5001,3.51,0.7152512669563293,4.124000072479248,18.149980545043945
Calgary,Apartment,307.0,555.0,1690.0,5.5,309300.0,-7.17,2025-11-01,,,,,58.54999923706055,2.2339,3.49,0.7152052521705627,4.849999904632568,19.685596466064453
Calgary,Detached,823.0,1075.0,2444.0,2.97,733000.0,-2.15,2025-11-01,,,,,58.54999923706055,2.2339,3.49,0.7152052521705627,4.849999904632568,19.685596466064453
Calgary,Row,257.0,396.0,901.0,3.51,424400.0,-6.19,2025-11-01,,,,,58.54999923706055,2.2339,3.49,0.7152052521705627,4.849999904632568,19.685596466064453
Calgary,Semi-Detached,166.0,225.0,546.0,3.29,671700.0,-0.52,2025-11-01,,,,,58.54999923706055,2.2339,3.49,0.7152052521705627,4.849999904632568,19.685596466064453
Calgary,Total Residential,1553.0,2251.0,5581.0,,559000.0,,2025-11-01,49.0,560000.0,615986.0,586200.0,58.54999923706055,2.2339,3.49,0.7152052521705627,4.849999904632568,19.685596466064453
Calgary,Apartment,272.0,354.0,1238.0,4.55,303600.0,-7.35,2025-12-01,,,,,57.41999816894531,2.2711,3.8,0.730209469795227,3.686000108718872,19.041627883911133
Calgary,Detached,587.0,559.0,1587.0,2.7,726900.0,-2.63,2025-12-01,,,,,57.41999816894531,2.2711,3.8,0.730209469795227,3.686000108718872,19.041627883911133
Calgary,Row,171.0,204.0,653.0,3.82,421300.0,-5.64,2025-12-01,,,,,57.41999816894531,2.2711,3.8,0.730209469795227,3.686000108718872,19.041627883911133
Calgary,Semi-Detached,96.0,102.0,382.0,3.98,666800.0,-1.56,2025-12-01,,,,,57.41999816894531,2.2711,3.8,0.730209469795227,3.686000108718872,19.041627883911133
Calgary,Total Residential,1126.0,1219.0,3860.0,,554700.0,,2025-12-01,53.0,555000.0,607149.0,582100.0,57.41999816894531,2.2711,3.8,0.730209469795227,3.686000108718872,19.041627883911133
Calgary,Apartment,273.0,787.0,1435.0,5.26,301200.0,-7.75,2026-01-01,,,,,65.20999908447266,2.2491,3.81,0.7341066002845764,4.354000091552734,21.3799991607666
Calgary,Detached,657.0,1243.0,1753.0,2.67,724000.0,-3.38,2026-01-01,,,,,65.20999908447266,2.2491,3.81,0.7341066002845764,4.354000091552734,21.3799991607666
Calgary,Row,186.0,504.0,785.0,4.22,420800.0,-5.23,2026-01-01,,,,,65.20999908447266,2.2491,3.81,0.7341066002845764,4.354000091552734,21.3799991607666
Calgary,Semi-Detached,118.0,251.0,418.0,3.54,667000.0,-1.1,2026-01-01,,,,,65.20999908447266,2.2491,3.81,0.7341066002845764,4.354000091552734,21.3799991607666
Calgary,Total Residential,1234.0,2785.0,4391.0,,554400.0,,2026-01-01,53.0,556250.0,618270.0,581800.0,65.20999908447266,2.2491,3.81,0.7341066002845764,4.354000091552734,21.3799991607666
Calgary,Apartment,345.0,753.0,1580.0,4.58,298600.0,-9.27,2026-02-01,,,,,,2.2492,3.62,0.7312186360359192,,23.61000061035156
Calgary,Detached,736.0,1269.0,1941.0,2.64,734300.0,-3.18,2026-02-01,,,,,,2.2492,3.62,0.7312186360359192,,23.61000061035156
Calgary,Row,270.0,491.0,887.0,3.29,423600.0,-4.96,2026-02-01,,,,,,2.2492,3.62,0.7312186360359192,,23.61000061035156
Calgary,Semi-Detached,175.0,253.0,414.0,2.37,682200.0,-0.38,2026-02-01,,,,,,2.2492,3.62,0.7312186360359192,,23.61000061035156
Calgary,Total Residential,1526.0,2766.0,4822.0,,560500.0,,2026-02-01,42.0,565000.0,627841.0,586300.0,,2.2492,3.62,0.7312186360359192,,23.61000061035156
